Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR33779431,2025-06-01 04:07:12,2025-06-01 00:46:34,23417159,7025147700,23417159,300,2152,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR033/33779/SRR33779431/SRR33779431.lite.1,SRX29001668,SC1,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP589082,PRJNA1270399,,1270399,SRS25219365,SAMN48824793,simple,702717,Tuta absoluta,Serik_Control_1,,,,,,,no,,,,,PLANT PROTECTION CENTRAL RESEARCH INSTITUTE,SRA2140344,,public,7DE695C9CB0559135E85B26FEF9A8225,5009C96C0FD6C460A5F56D49B7CCC27F
SRR33779430,2025-06-01 04:07:13,2025-06-01 00:46:32,22855938,6856781400,22855938,300,2115,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR033/33779/SRR33779430/SRR33779430.lite.1,SRX29001669,SC2,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP589082,PRJNA1270399,,1270399,SRS25219366,SAMN48824794,simple,702717,Tuta absoluta,Serik_Control_2,,,,,,,no,,,,,PLANT PROTECTION CENTRAL RESEARCH INSTITUTE,SRA2140344,,public,30B925D76472E5E172FBD66B13DAB1CD,64367EDE873DE03B66D6B90A7C661D74
SRR33779429,2025-06-01 04:07:13,2025-06-01 00:46:43,25740104,7722031200,25740104,300,2365,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR033/33779/SRR33779429/SRR33779429.lite.1,SRX29001670,SC3,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP589082,PRJNA1270399,,1270399,SRS25219367,SAMN48824795,simple,702717,Tuta absoluta,Serik_Control_3,,,,,,,no,,,,,PLANT PROTECTION CENTRAL RESEARCH INSTITUTE,SRA2140344,,public,ED90594B331CAB3BC3FE0D85C1336744,1411E2C57BF063304FB4DD06645A1966
SRR33779428,2025-06-01 04:07:13,2025-06-01 00:46:55,23781895,7134568500,23781895,300,2186,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR033/33779/SRR33779428/SRR33779428.lite.1,SRX29001671,ST1,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP589082,PRJNA1270399,,1270399,SRS25219368,SAMN48824796,simple,702717,Tuta absoluta,Serik_Treated_1,,,,,,,no,,,,,PLANT PROTECTION CENTRAL RESEARCH INSTITUTE,SRA2140344,,public,997CC87571B5E8F505F87ACED7D74542,5F13AF14EE3D6D2DBE9720190E12C393
SRR33779427,2025-06-01 04:07:13,2025-06-01 00:46:28,23994154,7198246200,23994154,300,2200,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR033/33779/SRR33779427/SRR33779427.lite.1,SRX29001672,ST2,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP589082,PRJNA1270399,,1270399,SRS25219373,SAMN48824797,simple,702717,Tuta absoluta,Serik_Treated_2,,,,,,,no,,,,,PLANT PROTECTION CENTRAL RESEARCH INSTITUTE,SRA2140344,,public,F1544809D901038234D6D9D47732FCDB,BE255DC931139754299C2D70D8880AC7
SRR33779426,2025-06-01 04:07:12,2025-06-01 00:46:32,23281028,6984308400,23281028,300,2139,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR033/33779/SRR33779426/SRR33779426.lite.1,SRX29001673,ST3,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP589082,PRJNA1270399,,1270399,SRS25219371,SAMN48824798,simple,702717,Tuta absoluta,Serik_Treated_3,,,,,,,no,,,,,PLANT PROTECTION CENTRAL RESEARCH INSTITUTE,SRA2140344,,public,E6193230D766E497EF087ED06DF251F3,91C5E99F542C102D3B4CB16806665086
